date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2023-10-27 16:30:00,1048672,P. Alt,Eintracht Braunschweig,Fortuna Dusseldorf,1,4,away,5,-3,0.6,1.0,1.8,8.0
2023-10-27 16:30:00,1048671,R. Braun,SpVgg Greuther Furth,VfL Osnabruck,4,0,home,4,4,1.4,8.0,1.0,5.0
2023-10-28 11:00:00,1048665,T. Gerach,FC Schalke 04,Hannover 96,3,2,home,5,1,1.4,3.0,2.6,10.0
2023-10-28 11:00:00,1048667,M. Burda,FC St. Pauli,Karlsruher SC,2,1,home,3,1,3.4,13.0,1.6,5.0
2023-10-28 11:00:00,1048666,T. Bauer,Hertha Berlin,SC Paderborn 07,3,1,home,4,2,2.0,9.0,2.2,11.0
2023-10-28 18:30:00,1048669,F. Badstübner,FC Kaiserslautern,Hamburger SV,3,3,draw,6,0,2.4,8.0,1.2,7.0
2023-10-29 12:30:00,1048670,L. Benen,FC Magdeburg,SV Elversberg,1,2,away,3,-1,1.2,2.0,1.8,11.0
2023-10-29 12:30:00,1048668,F. Willenborg,Holstein Kiel,FC Nurnberg,0,2,away,2,-2,1.8,7.0,1.6,8.0
2023-10-29 12:30:00,1048673,C. Dingert,SV Wehen,Hansa Rostock,1,0,home,1,1,0.8,4.0,0.8,3.0
2023-11-03 17:30:00,1048675,F. Heft,Fortuna Dusseldorf,SV Wehen,1,3,away,4,-2,2.0,8.0,0.8,7.0
2023-11-03 17:30:00,1048681,A. Sather,SV Elversberg,FC St. Pauli,0,2,away,2,-2,1.8,11.0,2.8,13.0
2023-11-04 12:00:00,1048677,F. Zwayer,FC Kaiserslautern,SpVgg Greuther Furth,0,2,away,2,-2,2.8,8.0,2.0,10.0
2023-11-04 12:00:00,1048680,W. Haslberger,FC Nurnberg,FC Schalke 04,1,2,away,3,-1,1.8,10.0,1.2,3.0
2023-11-04 12:00:00,1048682,P. Ittrich,VfL Osnabruck,Holstein Kiel,1,1,draw,2,0,1.0,5.0,1.6,7.0
2023-11-04 19:30:00,1048674,F. Exner,Hamburger SV,FC Magdeburg,2,0,home,2,2,1.6,8.0,0.8,2.0
2023-11-05 12:30:00,1048678,S. Stegemann,Hannover 96,Eintracht Braunschweig,2,0,home,2,2,1.6,7.0,0.8,1.0
2023-11-05 12:30:00,1048679,M. Petersen,Hansa Rostock,Hertha Berlin,0,0,draw,0,0,0.6,3.0,2.0,9.0
2023-11-05 12:30:00,1048676,P. Schwengers,Karlsruher SC,SC Paderborn 07,0,3,away,3,-3,1.6,4.0,2.0,8.0
2023-11-10 17:30:00,1048683,M. Petersen,FC Schalke 04,SV Elversberg,1,2,away,3,-1,1.4,6.0,1.4,8.0
2023-11-10 17:30:00,1048685,R. Hempel,FC St. Pauli,Hannover 96,0,0,draw,0,0,2.6,13.0,1.8,9.0
