date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2022-08-14 11:30:00,872894,T. Reichel,Fortuna Dusseldorf,SpVgg Greuther Furth,2,2,1,4,0
2022-08-14 11:30:00,872891,F. Badstübner,FC St. Pauli,FC Magdeburg,3,0,0,3,3
2022-08-19 16:30:00,872905,R. Kampka,FC Magdeburg,Hannover 96,0,4,2,4,-4
2022-08-19 16:30:00,872899,R. Schröder,Hamburger SV,SV Darmstadt 98,1,2,2,3,-1
2022-08-20 11:00:00,872904,M. Bacher,Jahn Regensburg,Karlsruher SC,0,6,2,6,-6
2022-08-20 11:00:00,872901,F. Exner,SC Paderborn 07,Holstein Kiel,7,2,0,9,5
2022-08-20 11:00:00,872903,M. Burda,SV Sandhausen,FC Nurnberg,1,2,2,3,-1
2022-08-20 18:30:00,872906,B. Dankert,Eintracht Braunschweig,Fortuna Dusseldorf,2,2,1,4,0
2022-08-21 11:30:00,872898,T. Stieler,SpVgg Greuther Furth,FC Kaiserslautern,1,3,2,4,-2
2022-08-21 11:30:00,872900,N. Winter,FC Heidenheim,Arminia Bielefeld,1,1,1,2,0
2022-08-21 11:30:00,872902,C. Dingert,Hansa Rostock,FC St. Pauli,2,0,0,2,2
2022-08-26 16:30:00,872907,B. Cortus,Arminia Bielefeld,Eintracht Braunschweig,4,1,0,5,3
2022-08-26 16:30:00,872912,F. Heft,Fortuna Dusseldorf,Jahn Regensburg,4,0,0,4,4
2022-08-27 11:00:00,872908,A. Aarnink,SV Darmstadt 98,FC Heidenheim,2,2,1,4,0
2022-08-27 11:00:00,872909,D. Aytekin,FC St. Pauli,SC Paderborn 07,2,2,1,4,0
2022-08-27 11:00:00,872914,W. Haslberger,Karlsruher SC,Hansa Rostock,2,0,0,2,2
2022-08-27 18:30:00,872910,F. Zwayer,FC Nurnberg,Hamburger SV,0,2,2,2,-2
2022-08-28 11:30:00,872913,F. Willenborg,Hannover 96,SpVgg Greuther Furth,2,1,0,3,1
2022-08-28 11:30:00,872911,A. Sather,Holstein Kiel,SV Sandhausen,1,0,0,1,1
2022-08-28 11:30:00,872915,R. Braun,FC Kaiserslautern,FC Magdeburg,4,4,1,8,0
2022-09-02 16:30:00,872924,P. Alt,Eintracht Braunschweig,FC Nurnberg,4,2,0,6,2
2022-09-02 16:30:00,872919,R. Kampka,FC Heidenheim,Fortuna Dusseldorf,2,1,0,3,1
2022-09-03 11:00:00,872923,F. Lechner,Jahn Regensburg,Holstein Kiel,0,0,1,0,0
2022-09-03 11:00:00,872916,M. Petersen,SpVgg Greuther Furth,FC St. Pauli,2,2,1,4,0
2022-09-03 11:00:00,872920,S. Waschitzki,SC Paderborn 07,FC Magdeburg,1,0,0,1,1
2022-09-03 18:30:00,872917,T. Reichel,Hamburger SV,Karlsruher SC,1,0,0,1,1
2022-09-04 11:30:00,872918,D. Schlager,SV Darmstadt 98,Arminia Bielefeld,1,1,1,2,0
2022-09-04 11:30:00,872922,B. Brand,SV Sandhausen,FC Kaiserslautern,0,0,1,0,0
2022-09-04 11:30:00,872921,T. Gerach,Hansa Rostock,Hannover 96,0,1,2,1,-1
2022-09-09 16:30:00,872927,A. Sather,FC Nurnberg,Arminia Bielefeld,1,0,0,1,1
2022-09-09 16:30:00,872928,D. Siebert,Holstein Kiel,Hamburger SV,2,3,2,5,-1
2022-09-10 11:00:00,872930,P. Ittrich,Hannover 96,Eintracht Braunschweig,1,1,1,2,0
2022-09-10 11:00:00,872926,F. Badstübner,SC Paderborn 07,Jahn Regensburg,3,0,0,3,3
2022-09-10 11:00:00,872931,F. Exner,Karlsruher SC,FC Heidenheim,0,0,1,0,0
2022-09-10 18:30:00,872929,S. Stegemann,Fortuna Dusseldorf,Hansa Rostock,3,1,0,4,2
2022-09-11 11:30:00,872932,M. Burda,FC Magdeburg,SpVgg Greuther Furth,2,1,0,3,1
2022-09-11 11:30:00,872925,M. Bacher,FC St. Pauli,SV Sandhausen,1,1,1,2,0
2022-09-11 11:30:00,872933,M. Fritz,FC Kaiserslautern,SV Darmstadt 98,3,3,1,6,0
2022-09-16 16:30:00,872942,R. Braun,Eintracht Braunschweig,Karlsruher SC,2,1,0,3,1
2022-09-16 16:30:00,872940,W. Haslberger,SV Sandhausen,Hannover 96,2,3,2,5,-1
2022-09-17 11:00:00,872934,A. Aarnink,Arminia Bielefeld,Holstein Kiel,4,2,0,6,2
2022-09-17 11:00:00,872939,H. Osmers,Hansa Rostock,FC Magdeburg,3,1,0,4,2
2022-09-17 11:00:00,872937,C. Dingert,SV Darmstadt 98,FC Nurnberg,2,0,0,2,2
2022-09-17 18:30:00,872936,S. Jablonski,Hamburger SV,Fortuna Dusseldorf,2,0,0,2,2
2022-09-18 11:30:00,872941,N. Winter,Jahn Regensburg,FC St. Pauli,2,0,0,2,2
2022-09-18 11:30:00,872935,F. Heft,SpVgg Greuther Furth,SC Paderborn 07,2,1,0,3,1
2022-09-18 11:30:00,872938,T. Reichel,FC Heidenheim,FC Kaiserslautern,2,2,1,4,0
2022-09-30 16:30:00,872948,F. Brych,Hannover 96,Hamburger SV,1,2,2,3,-1
2022-09-30 16:30:00,872945,B. Cortus,SC Paderborn 07,SV Darmstadt 98,1,2,2,3,-1
2022-10-01 11:00:00,872943,F. Lechner,SpVgg Greuther Furth,SV Sandhausen,1,1,1,2,0
2022-10-01 11:00:00,872946,M. Thomsen,Holstein Kiel,Hansa Rostock,1,1,1,2,0
2022-10-01 11:00:00,872947,B. Dankert,Fortuna Dusseldorf,Arminia Bielefeld,4,1,0,5,3
2022-10-01 18:30:00,872944,S. Waschitzki,FC St. Pauli,FC Heidenheim,0,0,1,0,0
2022-10-02 11:30:00,872950,D. Aytekin,FC Magdeburg,Jahn Regensburg,1,0,0,1,1
