date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2025-01-04 20:00:00,1213883,J. Stinat,Lyon,Montpellier,1,0,home,1,1,2.0,10.0,1.4,5.0
2025-01-05 14:00:00,1213886,B. Millot,Angers,Stade Brestois 29,2,0,home,2,2,0.6,3.0,2.2,6.0
2025-01-05 14:00:00,1213884,H. Ben El Hadj,Lens,Toulouse,0,1,away,1,-1,2.0,10.0,1.2,9.0
2025-01-05 14:00:00,1213889,F. Batta,Strasbourg,Auxerre,3,1,home,4,2,1.2,4.0,1.2,8.0
2025-01-05 19:45:00,1213888,T. Léonard,Marseille,Le Havre,5,1,home,6,4,1.8,10.0,0.6,3.0
2025-01-10 18:00:00,1213892,M. Bollengier,Nantes,Monaco,2,2,draw,4,0,0.8,5.0,1.6,7.0
2025-01-10 20:05:00,1213893,G. Angoula,Auxerre,Lille,0,0,draw,0,0,0.8,5.0,1.6,9.0
2025-01-11 16:00:00,1213897,E. Wattellier,Stade Brestois 29,Lyon,2,1,home,3,1,2.0,6.0,2.0,10.0
2025-01-11 18:00:00,1213894,W. Delajod,Reims,Nice,2,4,away,6,-2,0.4,3.0,2.0,10.0
2025-01-11 20:05:00,1213899,A. Kherradji,Rennes,Marseille,1,2,away,3,-1,1.8,6.0,2.6,13.0
2025-01-12 14:00:00,1213895,C. Turpin,Le Havre,Lens,1,2,away,3,-1,0.8,3.0,1.4,7.0
2025-01-12 16:15:00,1213896,R. Lissorgue,Montpellier,Angers,1,3,away,4,-2,0.8,2.0,0.6,6.0
2025-01-12 16:15:00,1213891,B. Bastien,Toulouse,Strasbourg,1,2,away,3,-1,1.0,9.0,1.6,7.0
2025-01-12 19:45:00,1213898,B. Millot,Paris Saint Germain,Saint Etienne,2,1,home,3,1,2.2,11.0,1.0,6.0
2025-01-17 18:00:00,1213905,J. Brisard,Montpellier,Monaco,2,1,home,3,1,1.0,2.0,1.4,5.0
2025-01-17 20:05:00,1213902,F. Letexier,Lille,Nice,2,1,home,3,1,1.4,7.0,2.4,10.0
2025-01-18 16:00:00,1213901,J. Pignard,Lens,Paris Saint Germain,1,2,away,3,-1,1.6,10.0,2.0,11.0
2025-01-18 18:00:00,1213908,T. Léonard,Rennes,Stade Brestois 29,1,2,away,3,-1,2.0,6.0,2.0,9.0
2025-01-18 20:05:00,1213903,B. Millot,Lyon,Toulouse,0,0,draw,0,0,2.0,9.0,1.2,9.0
2025-01-19 14:00:00,1213904,F. Batta,Saint Etienne,Nantes,1,1,draw,2,0,1.0,3.0,1.2,6.0
2025-01-19 16:15:00,1213907,S. Frappart,Angers,Auxerre,2,0,home,2,2,1.2,9.0,0.6,3.0
2025-01-19 16:15:00,1213906,M. Vernice,Reims,Le Havre,1,1,draw,2,0,0.6,2.0,0.6,0.0
2025-01-19 19:45:00,1213900,B. Dechepy,Marseille,Strasbourg,1,1,draw,2,0,2.4,13.0,1.8,10.0
2025-01-24 19:45:00,1213914,M. Bollengier,Auxerre,Saint Etienne,1,1,draw,2,0,0.6,3.0,1.2,4.0
2025-01-25 16:00:00,1213911,J. Stinat,Monaco,Rennes,3,2,home,5,1,1.4,5.0,1.2,3.0
2025-01-25 18:00:00,1213909,W. Delajod,Strasbourg,Lille,2,1,home,3,1,1.8,11.0,1.4,9.0
2025-01-25 20:05:00,1213916,H. Ben El Hadj,Paris Saint Germain,Reims,1,1,draw,2,0,2.2,13.0,0.8,3.0
2025-01-26 14:00:00,1213913,R. Lissorgue,Le Havre,Stade Brestois 29,0,1,away,1,-1,0.8,1.0,1.8,9.0
2025-01-26 16:15:00,1213915,A. Kherradji,Lens,Angers,1,0,home,1,1,1.4,7.0,1.4,9.0
2025-01-26 16:15:00,1213910,B. Bastien,Nantes,Lyon,1,1,draw,2,0,1.2,6.0,1.2,7.0
2025-01-26 16:15:00,1213912,C. Turpin,Toulouse,Montpellier,1,2,away,3,-1,0.8,7.0,1.0,4.0
2025-01-26 19:45:00,1213917,E. Wattellier,Nice,Marseille,2,0,home,2,2,2.4,10.0,2.2,11.0
2025-01-31 19:45:00,1213920,B. Dechepy,Montpellier,Lens,0,2,away,2,-2,1.4,7.0,1.2,7.0
2025-02-01 16:00:00,1213919,B. Bastien,Stade Brestois 29,Paris Saint Germain,2,5,away,7,-3,1.8,12.0,2.4,13.0
2025-02-01 18:00:00,1213926,A. Kherradji,Monaco,Auxerre,4,2,home,6,2,1.6,5.0,0.8,3.0
2025-02-01 20:05:00,1213921,E. Wattellier,Lille,Saint Etienne,4,1,home,5,3,1.0,6.0,1.4,5.0
2025-02-02 14:00:00,1213924,T. Léonard,Toulouse,Nice,1,1,draw,2,0,1.0,7.0,2.4,10.0
